overall_rank,pos_rank,player_id,full_name,position,team,opponent_team,home,game_id,kickoff,proj,floor,ceiling,neutral,matchup_pts,matchup_grade,opp_rank,d_idx,implied,tier,injury,limited_history,depth_rank,headshot_url,f_targets,f_carries,f_attempts,f_passing_yards,f_rushing_yards,f_receiving_yards,f_target_share,actual
1,1,00-0039075,Puka Nacua,WR,LA,SF,1.0,2026_01_SF_LA,2026-09-10 20:35:00,21.329463760976985,10.973576632380466,30.92980781712759,21.00095751663594,0.328506244341046,C,13,0.6353843916128512,25.5,1,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ipy6qw7hdygdfc8k86ba",11.665747461012195,1.0902141007350876,0.0,0.0,6.780935195605077,111.17380971132064,0.320153640205951,12.4
2,1,00-0038542,Bijan Robinson,RB,ATL,PIT,0.0,2026_01_ATL_PIT,2026-09-13 13:00:00,19.914302187810968,9.932521083130991,30.83708416795585,20.797040912824457,-0.882738725013489,D,28,-1.9865009099250792,17.0,1,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/esii5yb8yn9edboi4mlq",6.200877239726133,17.53025036502257,0.0,0.0,91.2785525109342,44.47420591809738,0.2075823746754037,
3,2,00-0033280,Christian McCaffrey,RB,SF,LA,0.0,2026_01_SF_LA,2026-09-10 20:35:00,19.61348057381441,9.631699469134436,30.53626255395929,19.704542599878867,-0.0910620260644563,C,13,0.8611839894662499,22.0,1,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st82s2ytyzanatcmkqck",6.78222205448072,16.95723194401536,0.061386820940675,0.0,67.25160048893032,46.641688644428974,0.2234115335673082,13.8
4,1,00-0034857,Josh Allen,QB,BUF,HOU,0.0,2026_01_BUF_HOU,2026-09-13 13:00:00,19.26307479220904,10.703327072340098,28.048475720064445,20.296741999097986,-1.0336672068889463,D,27,-1.7826021456428387,23.0,1,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjwbioajzldkq1vzoz2d",0.0,8.17328528368048,30.43295401901292,235.3496773363364,39.24039013960266,0.0,0.0,
5,2,00-0036900,Ja'Marr Chase,WR,CIN,TB,1.0,2026_01_TB_CIN,2026-09-13 13:00:00,18.640783501881437,8.284896373284914,28.24112755803204,18.241007398139796,0.3997761037416403,C,15,-0.2774585989483792,27.0,2,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qya3dtjb5kgofcuj2tuw",11.547876200684527,0.1512074860502315,0.0,0.0,0.7898277660311805,89.47337623704001,0.3180939746650861,
6,3,00-0039139,Jahmyr Gibbs,RB,DET,NO,1.0,2026_01_NO_DET,2026-09-13 13:00:00,18.480702272228584,8.498921167548609,29.403484252373467,18.111949008465373,0.3687532637632102,C,31,-2.2517159403573817,28.25,1,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cursejnmmp1i9hnxihkj",6.034985784583103,14.470984265266283,0.0,0.0,67.26718697569258,39.36282145224957,0.1676885937402609,
7,2,00-0026498,Matthew Stafford,QB,LA,SF,1.0,2026_01_SF_LA,2026-09-10 20:35:00,18.371822271017614,9.812074551148676,27.157223198873023,17.819672760596625,0.552149510420989,B,16,-0.1885201160331379,25.5,1,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jwpkjfrkzufdyh8u1mg7",0.0,1.4277232949842775,37.29845560967799,295.8208491710733,2.3542244458276214,0.0,0.0,4.1000000000000005
8,3,00-0036963,Amon-Ra St. Brown,WR,DET,NO,1.0,2026_01_NO_DET,2026-09-13 13:00:00,18.18046163518645,7.824574506589935,27.780805691337054,17.724261638456156,0.4561999967302981,C,19,-1.097781970070442,28.25,2,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fd8nwhm6pvxfyzphzl6i",10.98282909893094,0.0804807076984761,0.0,0.0,0.2282642119334486,87.55155810060994,0.3262068225280856,
9,3,00-0036971,Trevor Lawrence,QB,JAX,CLE,1.0,2026_01_CLE_JAX,2026-09-13 13:00:00,18.08165896995288,9.521911250083942,26.86705989780829,18.656704657968422,-0.5750456880155461,D,31,-3.49706508755364,24.5,1,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k9uzdernqkx7oquy7dkg",0.0,5.017421432244012,32.00778127241359,241.6003769070576,23.719407795960876,0.0,0.0,
10,4,00-0033873,Patrick Mahomes,QB,KC,DEN,1.0,2026_01_DEN_KC,2026-09-14 20:15:00,18.07600932436568,9.516261604496744,26.86141025222109,17.727577532186817,0.3484317921788644,C,17,-0.4135720093112624,23.0,1,,False,1.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wdckwtob1lybvkmxnf7p",0.1212590314085646,4.118372914396132,35.566240632307114,251.1494165681956,28.582779733587422,-1.2125903140856462,0.0041813459106401,
